city,month,pm25_mean,pm25_median,pm25_sd,n_values,n_sensors
Birmingham,2019-12-01,8.628333333333334,5.88,4.669685866517578,30,1
Birmingham,2020-01-01,8.968,6.6899999999999995,5.48554614890114,30,1
Birmingham,2020-02-01,5.6425,4.855,3.3570926850917147,28,1
Birmingham,2020-03-01,8.443333333333333,5.175,6.815195159162448,30,1
Birmingham,2020-04-01,10.879333333333333,9.465,5.144462663092621,30,1
Birmingham,2020-05-01,6.598064516129032,5.94,2.7489166585582265,31,1
Birmingham,2020-06-01,6.731379310344828,6.18,2.821843020006012,29,1
Birmingham,2020-07-01,3.650645161290323,3.5,0.9891644133101128,31,1
Birmingham,2020-08-01,6.958275862068965,4.33,6.1700648694005515,29,1
Birmingham,2020-09-01,6.6482758620689655,5.57,3.429340908110392,29,1
Birmingham,2020-10-01,5.021,4.15,3.0326571369584174,30,1
Birmingham,2020-11-01,11.341379310344829,5.83,10.910039519418385,29,1
Birmingham,2020-12-01,6.419655172413793,5.08,3.483755652779893,29,1
Birmingham,2021-01-01,8.245333333333333,7.1899999999999995,5.138638443933496,30,1
Birmingham,2021-02-01,7.483333333333333,6.3149999999999995,2.5964418239058498,24,1
Birmingham,2021-03-01,10.42551724137931,8.7,7.028962322423507,29,1
Birmingham,2021-04-01,9.1776,8.89,4.248774607656502,25,1
Birmingham,2021-05-01,5.688928571428572,4.665,2.9659041957576266,28,1
Birmingham,2021-06-01,6.685862068965517,6,2.9674754990460195,29,1
Birmingham,2021-07-01,8.42608695652174,7,4.2107057701772455,23,1
Birmingham,2021-08-01,5.625862068965517,5.58,1.8460276217585603,29,1
Birmingham,2021-09-01,8.204333333333333,6.995,4.409518453131334,30,1
Birmingham,2021-10-01,5.361071428571428,4.785,3.2740261082758573,28,1
Birmingham,2021-11-01,6.818620689655172,6.54,3.713645421317298,29,1
Birmingham,2021-12-01,6.836666666666667,5.96,3.827074450618215,30,1
Birmingham,2022-01-01,11.43,8.54,7.20955783234527,30,1
Birmingham,2022-02-01,4.346666666666667,4.13,1.540214770238728,27,1
Birmingham,2022-03-01,13.622,10.24,8.99641744788178,30,1
Birmingham,2022-04-01,7.188,7.045,3.45098426739287,30,1
Birmingham,2022-05-01,6.4751724137931035,5.08,3.9452119449581398,29,1
Birmingham,2022-06-01,5.818,5.98,1.64440199800246,30,1
Birmingham,2022-07-01,4.997096774193548,4.21,2.7819719547452757,31,1
Birmingham,2022-08-01,5.324516129032258,4.74,2.4753300637957727,31,1
Birmingham,2022-09-01,5.285666666666667,5.1899999999999995,2.0877585461749253,30,1
Birmingham,2022-10-01,5.783793103448276,5.04,1.9736503775511713,29,1
Birmingham,2022-11-01,6.858620689655172,5.75,3.584808945036512,29,1
Birmingham,2022-12-01,10.883666666666667,9.985,6.041697913514124,30,1
Birmingham,2023-01-01,7.970769230769231,5.825,5.79445798885585,26,1
Birmingham,2023-02-01,7.109999999999999,7.109999999999999,0.4525483399593902,2,1
Birmingham,2023-03-01,4.57,4.63,0.766381106238926,11,1
Birmingham,2023-04-01,9.125714285714286,9.004999999999999,4.345733052914752,28,1
