city,date,pm25_mean,pm25_median,pm25_sd,n_values,n_sensors,temp_mean,temp_min,temp_max,rh_mean,wind_mean,wind_max,precip_sum,pressure_mean,n_hours
Manchester,2023-09-21,5.0649999999999995,5.0649999999999995,0.41719300090006356,2,2,11.2,7.6,16.1,83.04166666666667,10.045833333333333,17,4.3999999999999995,993.8458333333333,24
Manchester,2023-09-22,6.045,6.045,0.19091883092036754,2,2,10.770833333333334,7.1,14.4,84.875,12.579166666666667,22.3,2.3,1000.4833333333333,24
Manchester,2023-09-23,5.8,5.8,0.8909545442950497,2,2,11.841666666666667,8.1,15.2,76.91666666666667,11.4875,21.2,0.7000000000000001,1013.3208333333333,24
Manchester,2023-09-24,5.869999999999999,5.869999999999999,0.67882250993908555,2,2,16.866666666666667,13.1,19.8,79.04166666666667,27.366666666666667,36,9.9,1010.8416666666667,24
Manchester,2023-09-25,5.609999999999999,5.609999999999999,0.3111269837220812,2,2,15.291666666666666,12.6,18.5,77.125,17.170833333333334,24.2,0.4,1015.0083333333333,24
Manchester,2023-09-26,9.629999999999999,9.629999999999999,1.0889444430272839,2,2,14.966666666666667,12,19,77.91666666666667,16.429166666666667,26,0.6,1013.8833333333333,24
Manchester,2023-09-27,7.715,7.715,0.5020458146424487,2,2,14.762500000000001,10.8,17.9,82.08333333333333,21.154166666666665,36.1,3.2000000000000006,1008.9625,24
Manchester,2023-09-28,6.665,6.665,0.12020815280171303,2,2,14.775,13.1,15.8,79.70833333333333,18.741666666666667,27.7,1.6,1008.4791666666666,24
Manchester,2023-09-29,8.59,8.59,0.49497474683058273,2,2,13.658333333333333,10.4,16.9,81,14.354166666666668,27.3,0.2,1016.625,24
Manchester,2023-09-30,7.025,7.025,0.03535533905932725,2,2,12.541666666666666,8.8,16,90.45833333333333,11.516666666666667,21.6,7.3999999999999995,1021.6125,24
Manchester,2023-10-01,4.5,4.5,0.19798989873223286,2,2,16.379166666666666,11.4,19,92.20833333333333,13.145833333333334,20.1,4.1,1016.7833333333333,24
Manchester,2023-10-02,7.43,7.43,0.608111831820431,2,2,13.133333333333333,11.4,15.5,89.5,6.125,8,9.4,1015.7375,24
Manchester,2023-10-03,7.48,7.48,0.2262741699796948,2,2,12.1875,9.5,14.4,82.91666666666667,16.7,30.3,2.8000000000000007,1016.6416666666667,24
Manchester,2023-10-04,6.265000000000001,6.265000000000001,0.30405591591021586,2,2,13.183333333333334,9.9,16.7,79.375,18.095833333333335,29,0.2,1021.6625,24
Manchester,2023-10-05,6.050000000000001,6.050000000000001,0.14142135623730964,2,2,14.116666666666667,12.2,15.7,87.58333333333333,17.35,24.2,11.8,1019.9041666666667,24
Manchester,2023-10-06,4.275,4.275,1.025304832720494,2,2,16.970833333333335,14.8,19.2,88.08333333333333,18.779166666666665,24.2,8.799999999999995,1018.5,24
Manchester,2023-10-07,6.175,6.175,0.8838834764831844,2,2,16.595833333333335,13.3,21.1,84.41666666666667,9.466666666666667,14.9,0.2,1020.0708333333333,24
Manchester,2023-10-08,14.149999999999999,14.149999999999999,0.0707106781186545,2,2,15.716666666666667,12.1,20.4,79.83333333333333,6.075,10.2,0,1022.625,24
Manchester,2023-10-09,14.55,14.55,1.9091883092036792,2,2,14.983333333333333,12,18.7,90.41666666666667,5.983333333333333,10.4,0,1020.7875,24
Manchester,2023-10-10,17.85,17.85,2.1920310216782957,2,2,15.779166666666667,12.1,20.1,82.79166666666667,12,23.7,6.7,1013.5541666666667,24
Manchester,2023-10-11,7.975,7.975,0.247487373415292,2,2,13.2375,8.8,16.3,89.20833333333333,12.85,25.7,12,1010.2458333333334,24
Manchester,2023-10-12,8,8,0.2828427124746186,2,2,9.320833333333333,4,12.1,80.95833333333333,5.116666666666666,10.4,0.2,1011.9125,24
Manchester,2023-10-13,8.205,8.205,0.5444722215136413,2,2,11.745833333333334,9.4,13.6,84.79166666666667,11.945833333333333,19.5,15.599999999999998,1000.0125,24
Manchester,2023-10-14,6.265000000000001,6.265000000000001,0.5444722215136419,2,2,7.8875,3.7,11.2,77.54166666666667,13.391666666666667,22.5,1.9,1016.1458333333334,24
Manchester,2023-10-15,6.105,6.105,0.14849242404917495,2,2,5.583333333333333,1.4,10.8,78.125,8.258333333333333,14.4,0,1025.7541666666666,24
Manchester,2023-10-16,8.915,8.915,1.8172644276494268,2,2,6.925,2.9,11.6,81.625,5.333333333333333,10.5,0,1022.5708333333333,24
Manchester,2023-10-17,9.165,9.165,0.23334523779156074,2,2,9.954166666666666,6.1,13.9,77,18.0875,25.7,0,1015.5083333333333,24
Manchester,2023-10-18,8,8,0.410121933088197,2,2,12.345833333333333,10.4,15.8,77.79166666666667,29.295833333333334,35.2,4.7,996.2458333333334,24
Manchester,2023-10-19,7.335,7.335,0.23334523779156074,2,2,14.475,11.6,17.7,86.5,15.520833333333334,25.6,9.899999999999997,980.8666666666667,24
Manchester,2023-10-20,5,5,0.8061017305526645,2,2,11.854166666666666,9.8,14.1,89.29166666666667,27.370833333333334,39.6,41.9,978.7708333333334,24
Manchester,2023-10-21,3,3,1.4142135623730951,2,2,9.183333333333334,6.9,12,85.75,11.595833333333333,27.6,3.7,985.3625,24
Manchester,2023-10-22,4.415,4.415,1.294005409571382,2,2,8.5875,5.9,12.7,84.70833333333333,9.55,12.9,1.3000000000000003,1003.0166666666667,24
Manchester,2023-10-23,7.835,7.835,0.23334523779156074,2,2,9.645833333333334,4.3,13.4,85.91666666666667,12.441666666666668,17.1,0,1007.4,24
Manchester,2023-10-24,8.5,8.5,0,2,2,9.716666666666667,7.4,12,89.08333333333333,8.883333333333333,16.6,1.6,1001.0708333333333,24
Manchester,2023-10-25,8.8,8.8,0.2121320343559635,2,2,7.116666666666667,3.9,11.3,93,5.725,8.1,0,996.9875,24
Manchester,2023-10-26,13.6,13.6,1.5556349186104041,2,2,8.829166666666667,6.1,12,90.54166666666667,8.3875,13.1,4.8,989.9541666666667,24
Manchester,2023-10-27,10.09,10.09,0.4384062043356602,2,2,9.204166666666667,6.4,12.3,89.75,9.216666666666667,12.9,1.9000000000000004,988.4375,24
Manchester,2023-10-28,9.425,9.425,0.10606601717798238,2,2,9.816666666666666,7.5,12.6,87.95833333333333,13.720833333333333,19.8,4,985.7541666666667,24
Manchester,2023-11-02,6.5,6.5,0.7071067811865476,2,2,9.016666666666666,7.7,11.2,88.70833333333333,21.90416666666667,32.4,11.6,967.3583333333333,24
Manchester,2023-11-03,4.83,4.83,1.0606601717798212,2,2,9.125,7.7,11.7,88.20833333333333,17.920833333333334,22,3.5000000000000004,978.3375,24
Manchester,2023-11-04,4.46,4.46,0.8202438661763952,2,2,7.454166666666667,5.7,8.2,87.875,15.5875,21.8,2.1,969.725,24
Manchester,2023-11-05,7.605,7.605,0.247487373415292,2,2,7.75,5.7,10.5,88.375,11.316666666666666,18.4,2.3000000000000003,979.4083333333333,24
Manchester,2023-11-06,11.4,11.4,0.8485281374238566,2,2,7.375,5.8,9.7,89.54166666666667,14.425,22.8,7.099999999999999,994.425,24
Manchester,2023-11-07,12,12,2.2627416997969516,2,2,7.7875,5.3,10.3,89.04166666666667,14.5375,21.8,2.1,1004.8458333333333,24
Manchester,2023-11-08,5.46,5.46,0.05656854249492385,2,2,7.775,5.6,10.4,83.58333333333333,17.366666666666667,30.5,6.5,1000.5,24
Manchester,2023-11-09,7.02,7.02,0.3535533905932738,2,2,6.825,5.3,8.8,83.375,16.833333333333332,23.4,3.400000000000001,992.0083333333333,24
Manchester,2023-11-10,7.52,7.52,0.367695526217005,2,2,4.958333333333333,1.9,8.5,88.83333333333333,9.020833333333334,15.5,0.5,996.0208333333334,24
Manchester,2023-11-11,5.975,5.975,1.1384419177103418,2,2,4.2375,1.7,8.5,88.91666666666667,7.045833333333333,11.4,0,1006.1875,24
